node_id,lat,lng,type,name,notes
n1,55.868313,-4.287501,,,
n2,55.869999,-4.286319,,,
n3,55.872052,-4.289247,,,
n4,55.872113,-4.289219,,,
n5,55.873502,-4.291690,,,
n6,55.873590,-4.291812,,,
n7,55.873960,-4.292321,,,
n8,55.873985,-4.292357,,,
n9,55.869999,-4.286525,,,
n10,55.870300,-4.286587,,,
n11,55.871186,-4.292258,,,
n12,55.871204,-4.291850,,,
n13,55.871210,-4.291317,,,
n14,55.871194,-4.291029,,,
n15,55.871164,-4.290756,,,
n16,55.871155,-4.290665,,,
n17,55.871084,-4.290123,,,
n18,55.870984,-4.289380,,,
n19,55.870892,-4.288731,,,
n20,55.870806,-4.288076,,,
n21,55.870714,-4.287359,,,
n22,55.870682,-4.286828,,,
n23,55.871201,-4.290073,,,
n24,55.871320,-4.290020,,,
n25,55.869926,-4.293697,,,
n26,55.869500,-4.293389,,,
n27,55.868805,-4.286278,,,
n28,55.870462,-4.285057,,,
n29,55.870158,-4.293811,,,
n30,55.871587,-4.285250,,,
n31,55.872464,-4.289027,,,
n32,55.872846,-4.288776,,,
n33,55.873116,-4.288576,,,
n34,55.873416,-4.288368,,,
n35,55.871782,-4.285783,,,
n36,55.871897,-4.288151,,,
n37,55.871937,-4.288431,,,
n38,55.872064,-4.289615,,,
n39,55.872079,-4.289733,,,
n40,55.870081,-4.286260,,,
n41,55.872040,-4.285612,,,
n42,55.871371,-4.292181,,,
n43,55.871423,-4.292173,,,
n44,55.871586,-4.292146,,,
n45,55.871832,-4.292051,,,
n46,55.872022,-4.291984,,,
n47,55.872250,-4.291923,,,
n48,55.872597,-4.291912,,,
n49,55.872638,-4.291911,,,
n50,55.872768,-4.291886,,,
n51,55.872798,-4.291867,,,
n52,55.871440,-4.290014,,,
n53,55.871568,-4.289958,,,
n54,55.871707,-4.289897,,,
n55,55.871746,-4.289879,,,
n56,55.872141,-4.290212,,,
n57,55.871500,-4.290482,,,
n58,55.871353,-4.290558,,,
n59,55.872734,-4.294490,,,
n60,55.872739,-4.294779,,,
n61,55.873783,-4.285091,,,
n62,55.873835,-4.285351,,,
n63,55.874075,-4.286381,,,
n64,55.872463,-4.286801,,,
n65,55.873331,-4.286170,,,
n66,55.874346,-4.286984,,,
n67,55.875293,-4.286287,,,
n68,55.874527,-4.288294,,,
n69,55.873874,-4.288812,,,
n70,55.873945,-4.289389,,,
n71,55.873628,-4.288680,,,
n72,55.873529,-4.288284,,,
n73,55.873084,-4.289888,,,
n74,55.873432,-4.290543,,,
n75,55.872326,-4.288129,,,
n76,55.872524,-4.288095,,,
n77,55.873056,-4.288350,,,
n78,55.872196,-4.288173,,,
n79,55.872062,-4.288079,,,
n80,55.871815,-4.288125,,,
n81,55.875130,-4.290743,,,
n82,55.874121,-4.291508,,,
n83,55.874052,-4.291577,,,
n84,55.874805,-4.289437,,,
n85,55.874265,-4.289855,,,
n86,55.873798,-4.290348,,,
n87,55.873827,-4.290463,,,
