segment_id,from_id,to_id,length_m,highway,step_free,step_count,ramp,handrail,gradient_pct,surface,surface_condition,width_m,dropped_kerb,tactile_paving,lit,seating_nearby,osm_hint,notes
s018,n17,n23,13,footway,,,,,,asphalt,,,,,,,surface=asphalt,
s019,n23,n24,14,footway,,,,,,asphalt,,,,,,,surface=asphalt,
s029,n37,n3,52,service,,,,,,,,,,,,,,
s030,n3,n38,24,service,,,,,,,,,,,,,,
s031,n38,n39,8,service,,,,,,,,,,,,,,
s040,n46,n47,26,service,,,,,,,,,,,,,,
s045,n24,n52,14,service,,,,,,asphalt,,,,,,,surface=asphalt,
s046,n52,n53,15,service,,,,,,asphalt,,,,,,,surface=asphalt,
s047,n53,n54,16,service,,,,,,asphalt,,,,,,,surface=asphalt,
s048,n54,n55,4,service,,,,,,asphalt,,,,,,,surface=asphalt,
s049,n55,n39,38,service,,,,,,asphalt,,,,,,,surface=asphalt,
s050,n39,n56,31,service,,,,,,asphalt,,,,,,,surface=asphalt,
s065,n75,n76,22,footway,,,,,,paving_stones,,,,,,,surface=paving_stones,
s068,n75,n78,15,footway,,,,,,asphalt,,,,,,,surface=asphalt,
s095,n114,n115,7,footway,,,,,,,,,,,,,,
s096,n115,n116,35,footway,,,,,,,,,,,,,,
s097,n116,n117,3,footway,,,,,,,,,,,,,,
s098,n76,n118,53,footway,,,,,,,,,,,,,,
s099,n118,n115,16,footway,,,,,,,,,,,,,,
s111,n46,n129,43,service,,,,,,,,,,,,,,
s120,n47,n141,50,service,,,,,,,,,,,,,,
s129,n152,n37,10,footway,,,,,,,,,,,,,,
s130,n37,n151,19,footway,,,,,,,,,,,,,,
s131,n151,n78,18,footway,,,,,,,,,,,,,,
s140,n161,n56,13,footway,,,,,,,,,,,,,,
s142,n163,n161,4,steps,no,,no,yes,,,,,,,,,incline=up; handrail=yes; ramp=no,
s149,n169,n166,13,footway,,,,,,paving_stones,,,,,yes,,surface=paving_stones; lit=yes,
s150,n166,n163,6,footway,,,,,,paving_stones,,,,,yes,,surface=paving_stones; lit=yes,
s175,n169,n186,24,footway,,,,,,,,,,,,,,
s177,n141,n186,10,steps,no,,,,,,,,,,,,incline=up,
s286,n53,n283,12,steps,no,,,,,,,,,,,,,
s294,n290,n152,20,footway,,,,,,,,,,,,,,
s295,n291,n290,10,steps,no,,,,,,,,,,,,,
