segment_id,tier,from_id,to_id,length_m,highway,step_free,step_count,ramp,handrail,gradient_pct,surface,surface_condition,width_m,dropped_kerb,tactile_paving,lit,seating_nearby,osm_hint,osm_way,osm_from,osm_to,notes
s009,alt,n12,n13,34,steps,no,,,,,,,,,,,,surface=asphalt; incline=up; wheelchair=no; tactile_paving=no; handrail=no; step_count=19; lit=no; ramp=no,6537963,53273342,3920794494,
s021,link,n25,n26,42,service,,,,,,,,,,,,,surface=asphalt; lit=yes,6537966,4374872372,4374872367,
s022,alt,n26,n27,46,service,,,,,,,,,,,,,surface=asphalt; lit=yes,6537966,4374872367,5268844244,
s023,alt,n27,n28,34,service,,,,,,,,,,,,,surface=asphalt; lit=yes,6537966,5268844244,53273345,
s033,alt,n40,n41,45,pedestrian,,,,,,,,,,,,,surface=asphalt,19786349,26997512,421382290,
s034,alt,n41,n42,32,pedestrian,,,,,,,,,,,,,surface=asphalt,19786349,421382290,421385314,
s035,alt,n42,n43,36,pedestrian,,,,,,,,,,,,,surface=asphalt,19786349,421385314,26997519,
s037,core,n46,n47,159,service,,,,,,,,,,,,,,24729410,268775477,1459359680,
s038,core,n47,n48,21,service,,,,,,,,,,,,,,24729410,1459359680,1459359684,
s039,alt,n48,n6,52,service,,,,,,,,,,,,,,24729410,1459359684,206144178,
s043,alt,n52,n46,31,service,,,,,,,,,,,,,,26623745,4214396655,268775477,
s044,core,n46,n28,142,service,,,,,,,,,,,,,,26623745,268775477,53273345,
s085,alt,n99,n101,39,footway,,,,,,,,,,,,,surface=concrete; lit=yes,36067976,421380078,421380916,
s086,alt,n101,n102,27,footway,,,,,,,,,,,,,surface=concrete; lit=yes,36067976,421380916,421380919,
s087,alt,n41,n103,75,service,,,,,,,,,,,,,surface=asphalt,36068204,421382290,10174385290,
s089,core,n105,n106,22,footway,,,,,,,,,,,,,surface=paving_stones,36068526,421384202,421385300,
s090,core,n106,n107,63,footway,,,,,,,,,,,,,surface=paving_stones,36068526,421385300,421385309,
s091,core,n107,n42,16,footway,,,,,,,,,,,,,surface=paving_stones,36068526,421385309,421385314,
s092,core,n105,n108,15,footway,,,,,,,,,,,,,surface=asphalt,36068618,421384202,421386079,
s093,core,n108,n109,18,footway,,,,,,,,,,,,,surface=asphalt,36068618,421386079,421386083,
s094,core,n109,n47,19,footway,,,,,,,,,,,,,surface=asphalt,36068618,421386083,1459359680,
s095,core,n47,n110,9,footway,,,,,,,,,,,,,surface=asphalt,36068618,1459359680,11938383718,
s122,alt,n107,n149,15,footway,,,,,,,,,,,,,,36078264,421385309,421498023,
s124,alt,n149,n152,11,steps,no,,,,,,,,,,,,incline=down; handrail=yes,36078372,421498023,421498036,
s125,alt,n152,n153,7,footway,,,,,,,,,,,,,,36078403,421498036,422686520,
s126,alt,n153,n154,35,footway,,,,,,,,,,,,,,36078403,422686520,7993586627,
s128,alt,n106,n156,53,footway,,,,,,,,,,,,,,36213993,421385300,7993586628,
s129,alt,n156,n153,16,footway,,,,,,,,,,,,,,36213993,7993586628,422686520,
s138,link,n12,n5,13,pedestrian,,,,,,,,,,,,,surface=asphalt; smoothness=good; lit=yes,42680635,53273342,53273343,
s158,alt,n109,n189,18,footway,,,,,,,,,,,,,,132677013,421386083,421386084,
s159,core,n190,n48,10,footway,,,,,,,,,,,,,,132677020,4374873352,1459359684,
s160,core,n48,n189,19,footway,,,,,,,,,,,,,,132677020,1459359684,421386084,
s161,core,n189,n108,18,footway,,,,,,,,,,,,,,132677020,421386084,421386079,
s177,alt,n208,n40,7,service,,,,,,,,,,,,,surface=asphalt,218502657,11938418420,26997512,
s212,link,n228,n26,3,footway,,,,,,,,,,,,,surface=asphalt,439811082,4374872369,4374872367,
s214,link,n231,n232,6,footway,,,,,,,,,,,,,,439811084,5179610553,4374873307,
s216,link,n228,n233,6,steps,no,,,,,,,,,,,,surface=concrete; incline=up; tactile_paving=no; handrail=yes; step_count=8; ramp=no,439811085,4374872369,4374872376,
s218,link,n236,n237,5,footway,,,,,,,,,,,,,surface=asphalt,439811087,4374873296,4374872387,
s219,link,n237,n233,7,footway,,,,,,,,,,,,,surface=asphalt,439811087,4374872387,4374872376,
s222,link,n238,n232,45,service,,,,,,,,,,,,,surface=asphalt,439811090,4374873299,4374873307,
s224,link,n25,n238,11,service,,,,,,,,,,,,,surface=asphalt,439811091,4374872372,4374873299,
s245,alt,n27,n255,50,service,,,,,,,,,,,,,surface=asphalt,545118069,5268844244,5268844245,
s283,alt,n292,n156,1,pedestrian,,,,,,,,,,,,,,857364455,7993586656,7993586628,
s284,alt,n156,n154,75,pedestrian,,,,,,,,,,,,,,857364455,7993586628,7993586627,
s285,alt,n154,n152,101,pedestrian,,,,,,,,,,,,,,857364455,7993586627,421498036,
s286,alt,n152,n292,24,pedestrian,,,,,,,,,,,,,,857364455,421498036,7993586656,
s287,alt,n149,n293,23,footway,,,,,,,,,,,,,,857364460,421498023,275606515,
s288,alt,n101,n43,32,footway,,,,,,,,,,,,,surface=paving_stones,857364461,421380916,26997519,
s328,alt,n103,n328,10,service,,,,,,,,,,,,,surface=asphalt,1112120028,10174385290,12122248818,
s333,link,n5,n51,10,pedestrian,,,,,,,,,,,,,surface=asphalt; lit=yes,1251612732,53273343,10619390,
s334,link,n51,n36,179,pedestrian,,,,,,,,,,,,,surface=asphalt; lit=yes,1251612732,10619390,387777710,
s335,alt,n36,n95,25,pedestrian,,,,,,,,,,,,,surface=asphalt; lit=yes,1251612732,387777710,295349307,
s338,alt,n337,n231,13,footway,,,,,,,,,,,,,,1287233412,11938383697,5179610553,
s339,alt,n338,n236,13,footway,,,,,,,,,,,,,surface=concrete,1287233413,11938383696,4374873296,
s340,alt,n339,n6,14,footway,,,,,,,,,,,,,,1287233414,4374873355,206144178,
s346,alt,n344,n345,16,pedestrian,,,,,,,,,,,,,,1287233421,7993590610,11938383695,
s347,alt,n345,n344,99,pedestrian,,,,,,,,,,,,,,1287233421,11938383695,7993590610,
s348,alt,n346,n345,28,footway,,,,,,,,,,,,,,1287233422,5179610537,11938383695,
s349,alt,n346,n238,6,footway,,,,,,,,,,,,,,1287233423,5179610537,4374873299,
s350,core,n347,n348,10,steps,no,,,,,,,,,,,,,1287233424,11938383704,11938383705,
s351,core,n110,n348,20,footway,,,,,,,,,,,,,,1287233425,11938383718,11938383705,
s352,core,n349,n190,20,footway,,,,,,,,,,,,,,1287233426,11938383710,4374873352,
s353,alt,n350,n349,10,steps,no,,,,,,,,,,,,,1287233427,11938383713,11938383710,
s356,alt,n328,n351,19,service,,,,,,,,,,,,,surface=asphalt,1309039513,12122248818,12122248816,
s357,alt,n328,n323,24,footway,,,,,,,,,,,,,surface=paved,1309039514,12122248818,10174385289,
s495,alt,n13,n463,17,footway,,,,,,,,,,,,,surface=asphalt; incline=up; tactile_paving=no; handrail=no; lit=no; ramp=no,1389290168,3920794494,12860678367,
s496,alt,n463,n464,11,steps,no,,,,,,,,,,,,surface=asphalt; incline=up; tactile_paving=no; handrail=no; step_count=4; lit=no; ramp=no,1389290191,12860678367,3917725339,
s497,alt,n464,n28,19,steps,no,,,,,,,,,,,,surface=asphalt; incline=up; tactile_paving=no; handrail=both; step_count=23; lit=no; ramp=no,1389290212,3917725339,53273345,
